codice_istat,Comune,Codice_Regione,Codice_Provincia,Nuclei_familiari_percettori_RDC_luglio_2020,Nuclei_familiari_percettori_PDC_luglio_2020,Individui_coinvolti_luglio_2020,Numero_componenti_per_famiglia,Numero_donne_per_famiglia,Numero_minori_<_18_anni_per_famiglia,Numero_anziani_>_75_anni_per_famiglia,Importo_medio_mensile,Dev.standard_importo_mensile,Uomini_residenti_al_1-1-2020,Donne_residenti_al_1-1-2020,Popolazione_residente_al_1-1-2020,Takeup,Takeup_donne
f890,nicolosi,19.0,87.0,258.0,31.0,701.0,2.426,1.287,0.585,0.08,576.743,276.78,3681.0,3735.0,7416.0,0.095,0.1
f891,nicorvo,3.0,18.0,5.0,0.0,12.0,2.4,1.2,0.2,0.2,519.692,447.297,142.0,142.0,284.0,0.042,0.042
f892,nicosia,19.0,86.0,246.0,34.0,612.0,2.186,1.143,0.546,0.068,500.966,250.251,6420.0,6763.0,13183.0,0.046,0.047
f893,nicotera,18.0,102.0,302.0,21.0,756.0,2.341,1.105,0.455,0.04,557.74,237.18,3084.0,2959.0,6043.0,0.125,0.121
f894,niellabelbo,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,177.0,363.0,0.0,0.0
f895,niellatanaro,1.0,4.0,6.0,0.0,18.0,2.25,1.0,0.625,0.0,643.956,135.462,522.0,484.0,1006.0,0.018,0.017
f898,nimis,6.0,30.0,31.0,0.0,54.0,1.688,0.812,0.375,0.0,455.969,198.995,1306.0,1327.0,2633.0,0.021,0.02
f899,niscemi,19.0,85.0,1465.0,136.0,3890.0,2.43,1.245,0.604,0.054,499.54,250.501,12752.0,13101.0,25853.0,0.15,0.152
f900,nissoria,19.0,86.0,119.0,8.0,300.0,2.362,1.236,0.583,0.063,565.651,245.978,1465.0,1457.0,2922.0,0.103,0.108
f901,nizzadisicilia,19.0,83.0,126.0,14.0,293.0,2.093,1.086,0.393,0.086,525.45,249.991,1736.0,1841.0,3577.0,0.082,0.083
